Country Name,2000,2005,2010,2015,2020
UAE,5.510750099,12.01992783,7.687222167,0.527292388,1.219428682
Australia,1.192272323,1.319789554,1.555489589,1.439216653,1.282933137
Canada,0.931281553,0.944466927,1.111864075,0.746339478,1.152797077
China,0.787956593,0.58812499,0.482959689,0.581456147,0.23804087
Germany,0.1354316,-0.056778262,-0.153198447,0.865702644,0.081693159
France,0.684945784,0.753799177,0.494040603,0.35556924,0.194582449
UK,0.357300887,0.686611306,0.783888647,0.792367506,0.365409432
India,1.76812551,1.579709143,1.350338314,1.116895913,0.9894138
Mexico,1.441096704,1.415816979,1.438140669,1.241164502,1.058240034
South Africa,1.409021901,1.237740618,1.455281933,1.532242773,1.273356263
